expression,reading,eng_meaning,chi_meaning,level,guid
踏む,ふむ,"to step on, to tread on",踩踏，踐踏,N4,MD)?c2/f%j
～区,～く,"~ district, ~ ward, ~ borough",區、選區、行政區,N4,jyNlO!<_rh
すっと,すっと,"straight, quickly",筆直地，快速地,N4,k|7>>bJ_;p
盗む,ぬすむ,to steal; to rob,偷竊；搶劫,N4,yRRr.o{S!G
大抵,たいてい,"generally, usually",一般來說，通常,N4,F4RWhn9KV7
とうとう,とうとう,"finally, at last",終於，終於,N4,b~a!BAlss]
ガソリン,ガソリン,"gasoline, petrol",汽油，汽油,N4,DtjnF2f-}S
鳴る,なる,"to sound, to ring (v.i.)",發出聲音，響起（不及物動詞）,N4,N2XM.u#*9T
しっかり,しっかり,"firmly, steady",穩固、穩定,N4,s1@<ogH]|l
生きる,いきる,to live,生活,N4,PsYPR<^eS}
苦い,にがい,bitter,苦的,N4,s7onh_qmu>
沸く,わく,"to boil, to grow hot",沸騰，變熱,N4,PG:x_[8:n{
意見,いけん,"opinion, view, idea",觀點、看法、想法,N4,rm|oi`$1Dg
やはり; やっぱり,やはり; やっぱり,"as I thought, absolutely",正如我所想，完全正確。,N4,uKv@@b~bnv
漫画,まんが,"comic (book), cartoon",漫畫（書），卡通,N4,l|R^YmR+|c
ステレオ,ステレオ,stereo,立體聲,N4,j)<hxBenH^
医学,いがく,medical science,醫學,N4,j>$AcgpmMe
テキスト,テキスト,text; text book,文本；教科書,N4,tNueVeWq/i
～月,～つき,month,月,N4,fmd>SOFFek
折る,おる,"to snap, to break; to bend",折斷，折斷；彎曲,N4,yVVu7>5}8_
～会,～かい,~ meeting,會議,N4,q`5&BgJq(Y
うかがう,うかがう,to ask,問,N4,i(<6VU5W9O
聞こえる,きこえる,"to be heard, to be audible",被聽到，可聽見的,N4,quf~I<>p>
僕,ぼく,I (used by men towards those of equal or lower status),我（男性對地位相同或更低的人使用的稱呼）,N4,sZrMWgN[D[
必ず,かならず,"surely, certainly",當然，肯定,N4,t=>{J>bIy^
壊す,こわす,"to break, to break down",打破，崩潰,N4,d^9}5OH`;*
怒る,おこる,to get angry; to scold angrily,生氣；憤怒地責罵,N4,Ib^RmCfT#f
床屋,とこや,barber's (shop),理髮店,N4,t^jDr`iefA
オートバイ,オートバイ,motorcycle (lit: auto-bi(ke)),摩托車（字面意思：auto-bi(ke)）,N4,Pt[L]fX^FJ
運動,うんどうする,exercise,鍛鍊,N4,=pK+M[-/J
止む,やむ,"to cease, to stop",停止，停下,N4,i[hf?*~a)V
もし,もし,if,如果,N4,oLI2n{GVOs
表,おもて,surface; front; outside,表面；正面；外部,N4,qP[jTS0$-o
大学生,だいがくせい,"college student, university student",大學生，大學學生,N4,cCEA>;7p%n
運転手,うんてんしゅ,driver (by occupation),司機（按職業）,N4,c=1Zd>L>/{
予習,よしゅう,preparation of lessons (for class),備課（課堂教學）,N4,A$348:bL<R
心配,しんぱいする,"worry, concern",擔憂、顧慮,N4,reB^;ntMm;
別,べつ,"distinction, different",區別，不同,N4,pvVM*k}K*D
非常に,ひじょうに,extremely; very,極度；非常,N4,Ih.~ep.W8C
お宅,おたく,(someone else's) house; home -- polite word for 家 (いえ) --,（別人的）房子； home -- 家的禮貌用語 (いえ) --,N4,"G:h,g@5k[b"
柔らかい,やわらかい,"soft (in reference to texture), tender",柔軟（指質地），嫩滑,N4,Mb;<89jf/c
拾う,ひろう,"to pick up (something), to find",撿起（某物），找到,N4,A7mxJIkuGg
～ございます,～ございます,"to be (polite), to exist",存在（禮貌地），存在,N4,kMO?quX[B$
気,き,"spirit, mood",精神，情緒,N4,N`FU2bb#2c
比べる,くらべる,to compare,進行比較,N4,OXHWkwV:?8
ほとんど,ほとんど,"mostly, almost",大多數時候，幾乎,N4,nQ>_aG@b-U
つもり,つもり,"intention, plan",意圖、計劃,N4,fOH84**JB]
郊外,こうがい,"suburb, outskirts",郊區，郊外,N4,m[#TphS~Yp
だめ,だめ,"useless, no good, hopeless",沒用的，不好的，沒希望的,N4,F`}=@;2gGr
売り場,うりば,place where things are sold,出售物品的地方,N4,g8Zs2)0MYs
正月,しょうがつ,"New Year, New Year's Day",新年，元旦,N4,z?cV&4IRT$
規則,きそく,"rule, regulation",規則、條例,N4,"fX,<9qoCbI"
うん,うん,"yes (informal), all right (ok)",是的（非正式），好的（可以）,N4,AU=4aGU<;g
発音,はつおん,pronunciation,發音,N4,ij2OK3T1KH
焼く,やく,"to bake, to grill",烘烤，燒烤,N4,ze5y7QDk;*
屋上,おくじょう,rooftop,屋頂,N4,dNyWHH2le2
失礼,しつれい,"discourtesy, impoliteness; Excuse me",失禮，不禮貌；對不起,N4,i}rJ2aUEQY
ごみ,ごみ,"trash, garbage",垃圾,N4,l0zGWz;u*B
アフリカ,アフリカ,Africa,非洲,N4,s(eSC66i0(
点,てん,"mark, score, grade; point, dot",分數、成績、等級；點、點,N4,xl]z9.M3ii
一生懸命,いっしょうけんめい,"very hard (as in ""to work hard""), with utmost effort",非常努力（如“努力工作”），並竭盡全力,N4,x}#WG:x<B%
今度,こんど,"now, this time, near future, one of these days, next time",現在，這一次，不久的將來，總有一天，下次,N4,"c3M,%sgpuH"
機会,きかい,"chance, opportunity",機會,N4,QN(r}6a#1P
建てる,たてる,to build,建造,N4,p>?r}3Zl{s
複雑,ふくざつ,"complexity, complication",複雜性，複雜化,N4,CH}=lqHM1.
彼,かれ,"he, boyfriend",他，男友,N4,t}ZPEKulM{
いらっしゃる,いらっしゃる,"-- honorific expression for いく, くる, and いる --",-- いく、くる、いる 的敬語表達 --,N4,q4xt(yor`^
布団,ふとん,futon,蒲團,N4,o9cl6;pq_D
大事,だいじ,"important, valuable, serious matter",重要、有價值、嚴肅的事情,N4,K-;(kx?ed|
贈り物,おくりもの,a gift; a present,禮物；贈品,N4,ea]7XukKd^
泥棒,どろぼう,thief; burglar,小偷；竊賊,N4,q/[sonb>SP
～製,～せい,made in ~,產地：~,N4,I|]_Gf;YLD
注意,ちゅうい,"caution, attention",注意，注意,N4,tSqn:MggQx
台風,たいふう,typhoon,颱風,N4,uFiu<};|%T
日,ひ,"sun, sunshine, day",陽光，晴天,N4,Ap$ELNr5>B
～軒,～けん,counter for houses,房屋計數器,N4,"KbFf,NH{5y"
そう,そう,"really, (is that) so; yes, right",真的嗎？是的，沒錯。,N4,wr0#d-auwR
通る,とおる,"to pass (by), to go through",經過，穿過,N4,z?tZP}u#Ea
過ぎる,すぎる,"to exceed, to go beyond",超越，超越,N4,O_}jg<!z1-
レポート; リポート,レポート; リポート,report,報告,N4,xai}>:G-4a
葉,は,leaf,葉子,N4,xQbxW<V1k4
必要,ひつよう,necessary,必要的,N4,ty_M]/QA_N
課長,かちょう,section manager,部門經理,N4,Q;5M-:Rtr;
地震,じしん,earthquake,地震,N4,DGTtnnC4Nd
すると,すると,"and, then",進而,N4,Fz>2(<Q3D%
止める,やめる,"to end, to stop",結束，停止,N4,w08D;C[*x`
ガラス,ガラス,"glass, pane",玻璃，窗格,N4,Wl!XdU*F<
～学部,～がくぶ,department of a university,大學系,N4,qq2at6CGnZ
厳しい,きびしい,hard; rigorous; strict,艱難的；嚴格的；嚴謹的,N4,pjG^I!L.;w
エスカレーター,エスカレーター,escalator,電扶梯,N4,y6e9BNnN(6
人口,じんこう,population,人口,N4,h:04.`><%U
月,つき,moon,月亮,N4,g.!8Tz-L0l
絹,きぬ,silk,絲綢,N4,tNV0})jEsh
ちっとも,ちっとも,not at all (neg. verb),一點也不（否定動詞）,N4,p(lsw|$R1V
深い,ふかい,"deep, profound",深沉、深邃,N4,N%G$/Va72i
壊れる,こわれる,"to be broken, to break",被打破，打破,N4,PH#eB=.[|i
揺れる,ゆれる,"to shake, to sway",搖晃，搖擺,N4,CJT@S-rGcq
落る,おちる,"to fall, to drop",落下，掉落,N4,QEWE{hX5.8
できるだけ,できるだけ,"if at all possible, as much as possible",如果可能的話，盡可能多地,N4,z|27hHgqS.
悲しい,かなしい,"sad, sorrowful",悲傷的，哀悼的,N4,P[6ROxur[z
中学校,ちゅうがっこう,junior high school pupil,國中生,N4,o@F6a}&sDT
ガス,ガス,gas,氣體,N4,J0vS6#XFQP
祈る,いのる,to pray; to wish,祈禱；願望,N4,gOVf)x5I|I
盛ん,さかん,"prosperous, active, thriving",繁榮的，活躍的，興旺的,N4,iN0&Vv}z1G
アルバイト,アルバイト,part-time job,兼職工作,N4,uhbB_H_zmK
起こす,おこす,to wake (someone) up,叫醒（某人）,N4,e)?&!q93%0
致す,いたす,-- extra-modest expression for する --,-- する 的超謙虛表達方式 --,N4,s{uMBFr}QR
噛む,かむ,"to bite, to chew",咬，咀嚼,N4,E0N_YXN>-x
赤ちゃん,あかちゃん,"baby, infant",嬰兒,N4,s09]7w9[]D
浅い,あさい,"shallow, superficial",淺的、表面的,N4,Bq97rav-&k
嘘,うそ,lie,說謊,N4,dDVZZUX$0%
小説,しょうせつ,novel,小說,N4,k;Wm8^zP:1
親,おや,a parent,父母,N4,EM~YxWr$Fw
それに,それに,moreover; besides,另外；另外,N4,q*Vh;RO@9L
西洋,せいよう,"the West, Western countries",西方，西方國家,N4,CYHizo6/]:
思う,おもう,"to think, to feel",思考，感受,N4,bu>M]5SnGX
パート (タイム),パート (タイム),part time (esp. female part time employees),兼職（尤指女性兼職員工）,N4,v_m4?zP2.9
時代,じだい,"age, period, epoch, era",時代、時期、紀元、時代,N4,L?Q&>175XG
申し上げる,もうしあげる,"(humble)to say, to tell",（謙虛地）說，告訴,N4,GF+@f2CV$T
～式,～しき,~ ceremony; ~ style,儀式；風格,N4,"r&5Ybsff,l"
出席,しゅっせきする,attendance,出席,N4,veUCYD:#[?
～家,～か,person who is specialized in ~,專門從事~領域的人,N4,jmL@^X(3xD
迎える,むかえる,to welcome; to meet; to greet,歡迎；見面；問候,N4,c)r?fC@d`X
触る,さわる,"to touch, to feel",觸摸，感覺,N4,EE}]!?vk-o
建て,～だて,"~ storied, separate housing",~ 有故事的獨立住宅,N4,O;BgWj4xcP
社長,しゃちょう,president of a company,公司總裁,N4,esu`;_q%~}
動物園,どうぶつえん,zoo,動物園,N4,LA>0An]TpD
捕まえる,つかまえる,"to catch, to arrest",抓捕，逮捕,N4,"dxA,$K8Jjo"
季節,きせつ,season (in reference to weather),季節（指天氣）,N4,"H-HO2,.Mf&"
寄る,よる,to stop by,順道去看看,N4,wowQrA=!@I
決まる,きまる,to be set; fixed (v.i.),已設定的；固定的（不及物動詞）,N4,ftU/w6Rm9)
開く,ひらく,to open; to hold (an event),舉辦；開幕；舉辦（活動）,N4,EqW3}ML(%4
逃げる,にげる,"to escape, to run away",逃跑，逃走,N4,olt^H[(k%k
だから,だから,so; therefore,所以；因此,N4,"l,%/>C{Y}S"
残念,ざんねん,regret; regrettable,遺憾；令人遺憾的,N4,u8P;}KnN>M
畳,たたみ,tatami mat (Japanese straw mat),榻榻米墊（日式草蓆）,N4,K6&+!%&]%g
丁寧,ていねい,"polite, courteous, careful",有禮貌、謙恭、謹慎,N4,y#[3yo1.4|
地理,ちり,geography,地理,N4,L>P&NZL8Ln
さっき,さっき,a little while ago,不久前,N4,K6.[:IAM|.
怖い,こわい,"scary, frightening",可怕的，嚇人的,N4,oO+f.U&hT(
包む,つつむ,"to wrap, to cover",包裹，覆蓋,N4,j.kjH)CP:g
なるべく,なるべく,"if possible, as much as possible",如果可能的話，盡可能多地,N4,N|K[$y_r^[
無理,むり,"unreasonable, impossible",不合理，不可能,N4,i]oOmAHlg9
