expression,reading,eng_meaning,chi_meaning,level,guid
ああ,ああ,"Ah!, Oh!",啊！哦！,N5,HI-.Ij?HS~
会う,あう,"to meet, to see",見面，看,N5,kupB!kWE}<
青,あお,blue,藍色的,N5,HB)I{+$j.i
青い,あおい,blue,藍色的,N5,q(A)lc.Kr8
赤,あか,red,紅色的,N5,y!Fn9IOz@J
赤い,あかい,red,紅色的,N5,D`aKGX2j!#
明るい,あかるい,bright (in reference to personality or weather); cheerful,開朗（指性格或天氣）；快樂,N5,m>)z8|k.>J
秋,あき,fall (season),秋季（季節）,N5,H~$iS3{X?*
開く,あく,"to open, to become open",打開，變得開放,N5,m[4![DH*c~
開ける,あける,to open (v.t.),打開（及物動詞）,N5,y.#AVx@-k>
上げる,あげる,"to raise, to lift",舉起，抬起,N5,Hp0]9?Ae.w
朝,あさ,morning,早晨,N5,g|Q>VbnCii
朝御飯,あさごはん,breakfast,早餐,N5,wWUR=G6*(U
明後日,あさって,day after tomorrow,後天,N5,mF[0Aq7|V7
足; 脚,あし,foot; leg,腳；腿,N5,m.INsC.wC2
明日,あした,tomorrow,明天,N5,xZI7N3AauN
あそこ,あそこ,"there, over there, that place",那裡，那邊，那個地方,N5,P>AI.lx+Jq
遊ぶ,あそぶ,to play; to spend time pleasantly; to hang out,玩耍；愉快地消磨時光；閒逛,N5,e<h|f2`;&
暖かい,あたたかい,warm,溫暖的,N5,tk[pUMy0{i
頭,あたま,head,頭,N5,DaKiPvzaex
新しい,あたらしい,new,新的,N5,h)6JB@Q5Rj
あちら,あちら,this way (polite),這樣（禮貌地）,N5,h{rLO32/d4
暑い,あつい,"hot (in reference to weather), warm",炎熱（指天氣），溫暖,N5,"gSl8i,<}^I"
熱い,あつい,hot (objects),熱（物體）,N5,Gy7fB=0YXx
厚い,あつい,"kind, warm(hearted), thick, deep",善良的，熱情的，厚實的，深沉的,N5,v[2GvOysf?
あっち,あっち,over there,在那邊,N5,Pv=fA$Z6K5
後,あと,afterwards (later); in the future; the rest; since then,之後；將來；其餘的；從那時起,N5,"r-[yF55!,-"
あなた,あなた,you,你,N5,"dwd.i?n%,!"
兄,あに,(my) older brother (humble),（我的）哥哥（謙虛的）,N5,L}%Kue=51s
姉,あね,(my) older sister (humble),我的姐姐（謙虛）,N5,IX6p9}CO.e
アパート,アパート,apartment (abbr.),公寓（縮寫）,N5,wZ/2ki)d+f
あの,あの,"that over there; like that, that way; um...",那邊；像那樣，往那邊走；嗯…,N5,B2LX%goFyX
浴びる,あびる,"to bathe, to shower",洗澡，淋浴,N5,b2.2F3UI=#
危ない,あぶない,"dangerous, critical",危險的，關鍵的,N5,kjgRC;INvI
甘い,あまい,"generous, sweet",慷慨、甜美,N5,jcM!HlCL`<
余り,あまり,not very; surplus,不太多；過剩,N5,"l$B(J(k,y1"
雨,あめ,rain,雨,N5,PaXlv})<8_
飴,あめ,(hard) candy,硬糖,N5,v}dp1l^X:W
洗う,あらう,to wash,洗滌,N5,H=[cc$xhzR
在る,ある,"to be, to have",存在，擁有,N5,w$Yz{uB@-`
有る,ある,"to be, to have",存在，擁有,N5,v`6i&kQMJj
歩く,あるく,to walk,行人徒步區,N5,"Kkagn,fSTU"
あれ,あれ,that one (over there),那個（那邊）,N5,Co(PaI(^/_
いい; よい,いい; よい,good,好的,N5,O(#?WJE%7H
いいえ,いいえ,"no, not at all",不，完全不是。,N5,"iO`r],Af`o"
言う,いう,to say,也就是說,N5,iurNhMLEpv
家,いえ,"house, home",房子，家,N5,QGc`#y1e97
いかが,いかが,"how, in what way",如何，以何種方式,N5,r5L~xW!JP9
行く,いく; ゆく,to go,去,N5,kJnXhXxW0)
いくつ,いくつ,"how many, how old",多少人，多大年紀,N5,mxf9)ZwbLi
いくら,いくら,"how much, how many",多少，多少個,N5,G7]VF2LkZL
池,いけ,pond,池塘,N5,"u8]?l[G,7&"
医者,いしゃ,doctor; physician,醫生；醫師,N5,"f&|8.,xzY9"
椅子,いす,chair,椅子,N5,Nxw^e{dZp(
忙しい,いそがしい,"busy (people, days)",忙碌（人，天）,N5,pTORshR]m|
痛い,いたい,hurt; painful; sore,疼痛；酸痛；酸痛,N5,O@@jk^&oQ8
一,いち,one,一,N5,C57gy_Lcmo
一日,いちにち,one day (duration),一天（時長）,N5,Q/Fb^F]yhk
一番,いちばん,"best (most), first, number one",最佳（最多），第一，排名第一,N5,y&ds7j((mb
いつ,いつ,when,什麼時候,N5,oGX1~x%YQo
五日,いつか,five days; fifth day of the month,五天；該月的第五天,N5,iii]i;bYjg
一緒,いっしょ,together,一起,N5,D>uK5dFJy^
五つ,いつつ,five things,五件事,N5,Q!*H:Q_rHO
いつも,いつも,"always, usually, every time, never (with neg. verb)",總是，通常，每次，從不（與否定動詞連用）,N5,BM|Xrf53.p
犬,いぬ,dog,狗,N5,"ktH(<>,fX+"
今,いま,now,現在,N5,N{Ld-iFO]H
意味,いみ,"meaning, significance",意義、重要性,N5,xQ(-U#d9Tp
妹,いもうと,younger sister (humble),妹妹（謙虛）,N5,BL_XI^txw+
嫌,いや,"disagreeable, detestable, unpleasant",令人不快的，可憎的，令人厭惡的,N5,pj6@51cCNZ
入口,いりぐち,entrance,入口,N5,"E5~,8$6,oj"
居る,いる,"(humble) to be (animate), to exist",（謙遜的）存在，有生命,N5,wfzvV]4NOO
要る,いる,to need,需要,N5,j|TF$iBC;9
入れる,いれる,to put in,放入,N5,swmy/(v]Eb
色,いろ,color,顏色,N5,"Epa;v6=%P,"
色々,いろいろ,various,各種各樣的,N5,jV7cB[WgxE
上,うえ,"above (up, top, etc.), over, on top of",上方（向上、頂部等），在…之上，在…之上,N5,"j3j@,T!uH>"
後ろ,うしろ,"back, behind, rear",後面，後方,N5,s:DnwS1iNM
薄い,うすい,"thin, weak",薄弱,N5,pRrb<$bzH|
歌,うた,a song,一首歌,N5,JJN9**Hn8A
歌う,うたう,to sing,唱歌,N5,AN4yH;7MHR
うち,うち,home; house; my place,家；房子；我的地方,N5,u5l2?%hKEd
生まれる,うまれる,to be born,出生,N5,i{d6CiQ#iK
海,うみ,"sea, beach",海灘,N5,Cla&e~|Y6P
売る,うる,to sell (v.t.),出售（動詞）,N5,nqk=gYOr|$
うるさい,うるさい,noisy; annoying,吵鬧的；煩人的,N5,fsH/V)BWD4
上着,うわぎ,"coat, jacket",外套，夾克,N5,nv?u]<OhhN
絵,え,a painting; a picture; a drawing,一幅畫；一幅圖畫；一幅畫,N5,E6H3mWmPF1
映画,えいが,"movie, film",電影，影片,N5,Q842_8x`<%
映画館,えいがかん,"movie theater, cinema",電影院，戲院,N5,tKa%gU>tYk
英語,えいご,English (language),英語）,N5,l~kTfp|Na~
ええ,ええ,yes,是的,N5,K4f;DsCIdC
駅,えき,station,車站,N5,EP[wTa2Y![
エレベーター,エレベーター,elevator,電梯,N5,GomZ-xrho6
～円,～えん,Yen,日元,N5,"rY,[_6)@&p"
鉛筆,えんぴつ,pencil,鉛筆,N5,ArKUTnLoi2
お～,お～,honorable ~ (honorific),尊敬的（尊貴的）,N5,Q1z/@I6[X=
美味しい,おいしい,"delicious, tasty",美味可口,N5,f%Oz)hC{aH
多い,おおい,many; there are a lot,很多；有很多,N5,CS_ZJ+i5[)
大きい,おおきい,"big, large",大的，大的,N5,N*s[nF-<Om
大きな,おおきな,big,大的,N5,"C@,$F5(H&S"
大勢,おおぜい,great number of people,很多人,N5,d_f[=H{F{<
お母さん,おかあさん,mother (formal),母親（正式）,N5,JmU7?0Aw7)
お菓子,おかし,"confections, sweets, snack",糖果、甜點、零食,N5,iY2$$8!fW<
お金,おかね,money,錢,N5,uh%`nh}D?M
起きる,おきる,"to get up (e.g., from sleeping); to happen",起床（例如，從睡夢中醒來）；發生,N5,i~#f<a525w
置く,おく,to put; to lay; to place,放置；放下；擺放,N5,"KTJ,/<Sfw7"
奥さん,おくさん,(someone else's) wife (hon.),（別人的）妻子（尊敬的）,N5,raj<Z6u7R]
お酒,おさけ,sake; alcohol,清酒；酒精,N5,BPnYG]G`g3
お皿,おさら,"plate, dish",盤子，碟子,N5,"lNBs!SV,D!"
伯父; 叔父さん,おじさん,"uncle, middle-aged man",叔叔，中年男子,N5,s$4&3o9W|{
おじいさん,おじいさん,"grandfather, male senior citizen",祖父，男性老年,N5,OnBGSorIYO
教える,おしえる,"to teach, to inform, to instruct",教導，告知，指導,N5,&(rx8HabP
押す,おす,"to push, to press, to stamp (e.g., a passport)",推，按，蓋章（例如，護照）,N5,O7S.k1^4+9
遅い,おそい,slow; (to be) late,慢；遲到,N5,e`TVG4aTiS
お茶,おちゃ,(green) tea,（綠茶,N5,"o|6tDcd,cL"
お手洗い,おてあらい,"toilet, restroom, bathroom (lit., a place to wash one's hands)",廁所、洗手間、浴室（字面意思：洗手的地方）,N5,jX+//z~!X8
お父さん,おとうさん,father (formal),父親（正式）,N5,Kh?V(6)C|2
弟,おとうと,younger brother,弟弟,N5,"ht,o]F,GkV"
男,おとこ,"man, male",男性,N5,QC9-<k]D|G
男の子,おとこのこ,boy,男生,N5,mDCUq=3c&Y
一昨日,おととい,the day before yesterday,前天,N5,n^WNNS^t5D
おととし,おととし,year before last,前年,N5,"i$lVvl^Y,~"
大人,おとな,adult,成人,N5,F~j9Wag0^x
お腹,おなか,stomach,胃,N5,GVf+XC=Lx4
同じ,おなじ,"same, identical",相同，一模一樣,N5,FT1U+`d~$u
お兄さん,おにいさん,(someone else's) older brother (formal),（別人的）哥哥（正式）,N5,c-e]c9shpL
お姉さん,おねえさん,older sister (formal),姐姐（正式）,N5,"Q,2s6~F,9F"
伯母さん; 叔母さん,おばさん,aunt,阿姨,N5,fk]_fvvw.h
おばあさん,おばあさん,"grandmother, female senior-citizen",祖母，老年女性,N5,K7L64Zdx7D
お風呂,おふろ,a bath,洗澡,N5,btJ^oH!>Ob
お弁当,おべんとう,a boxed lunch,盒裝午餐,N5,ou=Mxez95b
覚える,おぼえる,"to learn, to commit to memory, to remember, to memorize",學習，記住，牢記，背誦,N5,k*NiP6Je8n
おまわりさん,おまわりさん,policeman (friendly term),警察（友善稱呼）,N5,kI/erxg?st
重い,おもい,heavy; serious,沉重的；嚴肅的,N5,n(}tZ@Uv29
面白い,おもしろい,"interesting, amusing",有趣，好笑,N5,"J&$%9x,#?>"
泳ぐ,およぐ,to swim,游泳,N5,bxmTHH/R3s
降りる,おりる,to get off,下車,N5,hM4FhZWg_/
終る,おわる,"to finish, to close",結束，收尾,N5,D_J6!H@vf*
音楽,おんがく,Music,音樂,N5,fcOO[?V993
女,おんな,"woman, female",女人，女性,N5,d3!7^Z7+&i
女の子,おんなのこ,girl,女孩,N5,n^ma[3kYmi
～回,～かい,counter for occurrences (~ times),出現次數計數器（~ 次）,N5,dwW`SX||PF
～階,～かい,counter for stories (floors) of a building,建築物樓層數的計數器,N5,x]4mRhDP?0
外国,がいこく,foreign country; abroad,外國；國外,N5,K:<1s^}$O$
外国人,がいこくじん,foreigner,外國人,N5,mxObbkK7.-
会社,かいしゃ,"company, corporation",公司、企業,N5,owc{ezB4?4
階段,かいだん,stairs,樓梯,N5,"ui<=#{,<U^"
買い物,かいもの,shopping,購物,N5,uV:`-T%Eq~
買う,かう,to buy,購買,N5,Q.3jlQZyvW
返す,かえす,to return something,歸還某物,N5,b+[+YOY+dv
帰る,かえる,"to go back, to go home, to return",回去，回家，返回,N5,HBCAN.he?j
顔,かお,face (body part),臉（身體部位）,N5,MGLL{4`mK@
かかる,かかる,"it takes (amount of time, money) (v.i.)",需要（一定量的時間、金錢）（不及物動詞）,N5,yajlZ<1W@=
鍵,かぎ,a lock; a key,鎖；鑰匙,N5,CBifo1C?=d
書く,かく,to write,寫,N5,ytOa}oy+zO
学生,がくせい,student,學生,N5,"JC,(K4dD=="
～か月,～かげつ,(number of) months,（個）月,N5,p^^qFJHF)[
掛ける,かける,"to put on (e.g., glasses); to hang (e.g., on a wall)",戴上（例如，眼鏡）；懸掛（例如，掛在牆上）,N5,J@I.fZoEvE
かける,かける,"to dial/call (e.g., phone); to sit down",撥打電話；坐下,N5,j[@hZ&;%2u
傘,かさ,"umbrella, parasol",雨傘，陽傘,N5,p_LV=Cf?pc
貸す,かす,to lend,借出,N5,yag&XA]F86
風,かぜ,"wind, breeze",風，微風,N5,wPz(SGuAqF
風邪,かぜ,"cold, flu",感冒、流感,N5,"G#zadB[Bd,"
方,かた,-- honorific form for 人 (ひと) --; way of doing,-- 人的敬語形式 (ひと) --;做事的方式,N5,GtdTiap.Os
家族,かぞく,"family, members of a family",家庭，家庭成員,N5,jwBW:Yf?[N
片仮名,かたかな,katakana,片假名,N5,y%B]18.T{|
～月,～がつ,month of year,一年中的某個月份,N5,x[qBqm:mer
学校,がっこう,a school,一所學校,N5,jMUlk]n4bL
カップ,カップ,cup,杯子,N5,N>J.3DDIIf
家庭,かてい,home; family,家；家庭,N5,K=/LkA^bE5
角,かど,"corner (e.g., desk, pavement)",角落（例如，桌子、人行道）,N5,NblB:vgsi`
かばん,かばん,"bag, basket",袋子、籃子,N5,M4T~@ehWYB
花瓶,かびん,(flower) vase,花瓶,N5,m<:4xC~U|%
かぶる,かぶる,"to wear, to put on (e.g., a hat on the head)",穿戴，戴上（例如，把帽子戴在頭上）,N5,"v~,/++9.ks"
紙,かみ,paper,紙,N5,BZj5w]P?W@
カメラ,カメラ,camera,相機,N5,m@gkXGnk1!
火曜日,かようび,Tuesday,週二,N5,rx9;D%FE+1
辛い,からい,hot and spicy; salty,辛辣；鹹味,N5,EjaGe<]5<&
体,からだ,body; health,身體；健康,N5,x=d[R_7msH
借りる,かりる,"to borrow, to owe",借貸，欠債,N5,EV_.CiOUqY
～がる,～がる,feel,感覺,N5,e--3P:#0au
軽い,かるい,"light, non-serious, minor",輕微、非嚴重、小,N5,"Q?,F=N/]i*"
カレー,カレー,curry (abbr. for curry and rice),咖哩（咖哩飯的縮寫）,N5,l)iLA}_6t!
カレンダー,カレンダー,calendar,日曆,N5,"H,vNs@Ml~$"
川; 河,かわ,river,河,N5,QzV_(D2VAO
～側,～がわ,~ side,~ 側面,N5,ks2wGx4U0-
可愛い,かわいい,"cute, adorable",可愛，萌萌噠,N5,"cM$xbG,Do&"
漢字,かんじ,kanji; Chinese character,漢字；中文字符,N5,"yx;[,(ZC<M"
木,き,"tree, wood, timber",樹、木材、木材,N5,"Pt,~h2%O9J"
黄色,きいろ,yellow,黃色的,N5,c$:@4*e3c*
黄色い,きいろい,yellow,黃色的,N5,yw~rIwG)7I
消える,きえる,"to vanish, to disappear",消失，消失,N5,Hl(tY84I}b
聞く,きく,"to hear, to listen, to ask",聽，傾聽，詢問,N5,CbCe+?lSS(
北,きた,north,北,N5,c_4*(T~qY|
ギター,ギター,guitar,吉他,N5,gl.RMMgxvn
汚い,きたない,"dirty, unclean, filthy",骯髒的，不潔的，污穢的,N5,gA&c1.)X%=
喫茶店,きっさてん,café,咖啡店,N5,b3?(}lhy[4
切手,きって,postal (postage) stamps,郵票,N5,GZ2eU+7^)f
切符,きっぷ,a ticket,一張票,N5,i@ntG+Gt0l
昨日,きのう,yesterday,昨天,N5,"mMKJxv#,<s"
九,きゅう,nine,九,N5,PCz+i!/c^t
牛肉,ぎゅうにく,beef,牛肉,N5,"HN>QIS,sa)"
牛乳,ぎゅうにゅう,milk,牛奶,N5,fkn+n(t~hl
今日,きょう,"today, this day",今天，這一天,N5,bCP{!%CS>.
教室,きょうしつ,classroom,課堂,N5,jd>*%:rgPV
兄弟,きょうだい,"siblings (humble), brothers and sisters",兄弟姊妹（謙遜的），兄弟姊妹們,N5,tg~Kr0A/Mn
去年,きょねん,last year,去年,N5,zrXmT>AI2s
嫌い,きらい,dislike,不喜歡,N5,"qw1}y,Um4C"
切る,きる,to cut; to hang up (a phone),掛斷；掛斷（電話）,N5,A;e]B2v]77
着る,きる,to put on (clothes above your waist); to wear,穿上（腰部以上的衣服）；穿戴,N5,g$-Eqb.V#N
綺麗,きれい,"pretty, clean, tidy",漂亮、乾淨、整潔,N5,y:f/R>36c4
キロ; キログラム,キロ; キログラム,(abbr.) kilo (kilogram),（縮寫）公斤（kilogram）,N5,"v,MI,fa=Pd"
キロ; キロメートル,キロ; キロメートル,(abbr.) kilo (kilometer),（縮寫）千（公里）,N5,I+%u|o<M9)
